smiles,index
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(=O)c(c5oc6cc(N7CCC(C)(N(C)C)CC7)cc(=O)c6nc5c4c3=C2O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,44
O=c1[nH]nc(-c2ccccc2)c(=O)[nH]1,45
O=C(Nc1nnc(-c2cc(Cl)cc(Cl)c2)o1)c1ccc(SC(F)(F)F)cc1,46
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(c3ccc4c(c3)-c3ccc(Cn5cc[n+](C)c5)cc3C4=O)C[C@H]12,47
CO[C@H]1/C=C/[C@@](C)(O)/C=C/C(=O)O[C@H](C)[C@@H](C)CC/C=C/1C,48
NC[C@H]1O[C@H](O[C@H]2[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)C[C@@H]2N)[C@H](N)[C@@H](O)[C@@H]1O,49
CC[C@@H](C)[C@@H]1NC(=O)[C@H](C)NC(=O)CNC(=O)[C@@H](CO)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H]2CCCN2C(=O)[C@@H](CC(=O)O)NC(=O)CNC(=O)[C@@H](NC(=O)CN)[C@@H](C)CC)C(C)C)[C@@H](C)O)CSSC[C@H]2NC(=O)[C@H](CCCCN)NC(=O)[C@@H]([C@@H](C)O)NC(=O)CNC(=O)[C@H]3CCCN3C(=O)[C@@H](CC(C)C)NC(=O)CNC(=O)[C@H]3CSSC[C@@H](NC1=O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](C(C)C)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@H](CSSC[C@H](C(=O)N[C@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@@H]1C(=O)O)NC2=O)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CCCCN)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H]([C@@H](C)CC)C(=O)NCC(=O)N[C@H]([C@@H](C)O)C(=O)N3,50
CCCCCCCCCCCCC[C@@H](CC(=O)O[C@H]1CN(C)[C@@H](C(O[C@@H]2O[C@H](CN)[C@@H](O)[C@H]2O)[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)C(=O)N(C)[C@@H]1C(=O)O)OC(=O)C[C@H](C)CC(=O)O[C@@H]1O[C@H](C)[C@@H](OC)[C@@H](OC)[C@H]1OC,51
CCCCCCCCCCCCN(CC(=O)OC1CN(C)C([C@@H](OC2CC(O)C(CN)O2)[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)C[C@@H]2O)C(=O)N(C)C1C(=O)O)C(=O)c1ccc(CCN)cc1,52
C/C=C(\N=C=S)C(=O)O[C@H]1[C@@H](O[C@@H]2C[C@@H](OC)[C@@H](O)[C@@H](C)O2)[C@@H](O)C(C2(O)CC(=O)C(=N)C(C(=O)O)C2=O)O[C@@H]1COC(C)=O,53
O=[N+]([O-])c1c(Cc2cc(Cl)cc(Cl)c2O)[nH]c(Cl)c1Cl,54
Cc1[nH]c2ccccc2c1C1(O)C(=O)Nc2ccc(F)cc21,55
O=C(O)Cc1cccc(-c2noc(-c3ccccc3Cl)c2C(=O)NCCOc2ccc(Cl)cc2Cl)c1,56
CCCCCCCC(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,57
Nc1nc(/C(=N/O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(C=C4CCN(CC(F)(F)F)C4=O)CS[C@H]23)cs1,58
Nc1nc(/C(=N/O[C@H](C(=O)O)c2ccc(O)c(O)c2)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=CCS[C@H]23)cs1,59
CNC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(-c4nc(N)c(F)cc4F)c3c2Cl)C1,60
Cc1cc(Nc2ccccc2F)n2nc(-c3ccco3)nc2n1,61
CC(=O)N[C@@H](CS)C(=O)O,62
COC12OC1(C13OC1(OC)C(=O)c1cc4cc(C)oc(=O)c4c(O)c1C3O)C(O)c1c(cc3cc(C)oc(=O)c3c1O)C2=O,63
CCCCCCC(CCCCCC(O)C(N)=O)OC(=O)[C@@H]1CCCN1C(=O)c1ccccc1O,64
O=C1C=CC(=O)c2ccccc21,65
CN[C@@H]1[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)O[C@H]2C[C@@H](N)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](N)C[C@@H]3N)O[C@@H]2[C@@H]1O,66
Cc1cc(Cl)cc(/C=N/NC(=O)c2ccc(O)cc2O)c1O,67
Cc1nc(-n2nc(C)c(CC(=O)Nc3ccc(F)cc3)c2O)sc1C,68
C=C/C=C(\C)CCC1C/C=C/C=C(\C)C(OP(=O)(O)O)CCC/C=C\C=C/C=C/CC(C)C(=C)CC(=O)O1,69
CC(=O)NC[C@H]1CN(c2ccc(-c3ccc(CNCCCF)cc3)c(F)c2)C(=O)O1,70
COc1c(O)cc2c(OC)c3c(c(O)c2c1O)C(=O)CC1CC(O)(C2CN2C)CC(=O)C31O,71
O=C(/C=C/c1ccc(F)cc1)Nc1ccc(-c2nc3ccc([N+](=O)[O-])cc3n2O)cc1,72
NC1CCN(CC(O)COc2ccc(Cl)c(Cl)c2)C1,73
CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,74
CCc1ccc(CNC[C@]2(O)C[C@@H](C)O[C@H]3O[C@@H]4[C@@H](O)[C@H](NC)[C@H](O)[C@H](NC)[C@H]4O[C@]32O)cc1,75
CC1OC(n2ccc(NC(=O)c3ccc(NC(=O)C(C)(N)CO)cc3)nc2=O)CC(O)C1OC1OC(C)C(N(C)C)C(O)C1O,76
Cc1ccc2c(c1/C=C/C=C/C(=O)O)[C@H](C)C[C@H](C)C2,77
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,78
CSc1c2sc(C3=C(C(=O)[O-])N4C(=O)[C@H]([C@@H](C)O)[C@H]4[C@H]3C)cn2c[n+]1CC(N)=O,79
COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1,80
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,81
CC1(C)S[C@@H]2[C@H](N=CN3CCCCCC3)C(=O)N2[C@H]1C(=O)O,82
